time,x,y,z,vx,vy,vz,speed,omega_z,air_density,reynolds,cd,mach,Speed,Z_bottom,Clearance,AirDensity,Mu,SpeedOfSound,Re,Cd,Mach,KineticEnergy,PotentialEnergy,TotalEnergy
4.164999999999933,-0.00796419582676566,-0.18615118121232951,22.30807687779088,-0.0030968184031396856,-0.03696312128113975,-34.15565575994865,34.12761186222422,33.12600449053553,1.220305976231597,465502.5313174839,0.47,0.1002877162548436,34.1556759010085,22.108076877790882,22.108076877790882,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,941157.3138890581,0.04861542515001583,0.10037018549910028,5833.050981273664,2188.4223417112858,8021.47332298495
4.169999999999933,-0.007979685331312329,-0.18633588182563227,22.137158451234246,-0.003097900909333766,-0.0369401226605527,-34.183685311327295,34.1556759010085,33.109445628350784,1.220305976231597,465885.3263734583,0.47,0.10037018549910028,34.18370541110934,21.937158451234247,21.937158451234247,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,941929.6651232302,0.04860293013831378,0.10045255327704804,5842.628578167529,2171.65524406608,8014.283822233609
4.174999999999933,-0.00799518022047462,-0.18652046742350828,21.96610004949386,-0.0030989778324585567,-0.03691711957520299,-34.21168034807684,34.18370541110934,33.09289504352762,1.220305976231597,466267.6504562627,0.47,0.10045255327704804,34.21170040667912,21.76610004949386,21.76610004949386,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,942701.0653118594,0.04859046394454925,0.10053481963027522,5852.202223581842,2154.874414855348,8007.07663843719
4.179999999999933,-0.00801068046636979,-0.18670493798388083,21.794901845071674,-0.0031000491790336114,-0.03689411207450811,-34.23964088443717,34.21170040667912,33.07635273192839,1.220305976231597,466649.5037589364,0.47,0.10053481963027522,34.23966090195743,21.594901845071675,21.594901845071675,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,943471.514847316,0.048578026487376136,0.10061698460062639,5861.771893405161,2138.0798710015315,7999.851764406692
4.184999999999933,-0.008026186041147724,-0.18688929348491987,21.623564010398,-0.0031011149555868886,-0.036871100207808226,-34.267566934735065,34.23966090195743,33.05981868941751,1.220305976231597,467030.88647570804,0.47,0.10061698460062639,34.26758691127072,21.423564010398,21.423564010398,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,944241.0141243648,0.04856561768575412,0.1006990482302014,5871.337563607462,2121.271629420044,7992.609193027505
4.189999999999933,-0.008041696916990996,-0.1870735339050417,21.45208671783108,-0.0031021751686546913,-0.03684808402436604,-34.295458513383885,34.26758691127072,33.04329291186148,1.220305976231597,467411.7988019912,0.47,0.1006990482302014,34.29547844903205,21.25208671783108,21.25208671783108,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,945009.5635401565,0.04855323745894715,0.10078101056135462,5880.89921024011,2104.449707019229,7985.348917259339
4.194999999999933,-0.008057213066114904,-0.18725765922290852,21.280470139656664,-0.0031032298247816105,-0.0368250635733667,-34.32331563488331,34.29547844903205,33.026775395128844,1.220305976231597,467792.24093438115,0.47,0.10078101056135462,34.3233355297408,21.080470139656665,21.080470139656665,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,945777.1634942205,0.04854088572652194,0.10086287163669401,5890.4568094358365,2087.614120700319,7978.070930136155
4.199999999999933,-0.008072734460767506,-0.1874416694174281,21.108714448087568,-0.003104278930520464,-0.03680203890391769,-34.351138313819014,34.3233355297408,33.010266135090234,1.220305976231597,468172.2130706499,0.47,0.10086287163669401,34.35115816798234,20.90871444808757,20.90871444808757,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,946543.8143884556,0.04852856240834638,0.10094463149908031,5900.010337408699,2070.7648873573908,7970.77522476609
4.204999999999933,-0.008088261073229666,-0.18762556446775333,20.936819815263256,-0.0031053224924322397,-0.03677901006504877,-34.378926564862404,34.35115816798234,32.99376512761833,1.220305976231597,468551.71540974267,0.47,0.10094463149908031,34.378946378427756,20.736819815263257,20.736819815263257,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,947309.5166271226,0.048516267424588096,0.10102629019162611,5909.559770454054,2053.9020238773255,7963.46179433138
4.2099999999999325,-0.008103792875815096,-0.1878093443532819,20.764786413249404,-0.003106360517086037,-0.03675597710571184,-34.4066804027703,34.378946378427756,32.97727236858788,1.220305976231597,468930.7481517741,0.47,0.10102629019162611,34.40670017583358,20.564786413249404,20.564786413249404,1.2326718046663765,1.7894028142232134e-05,340.2970287557621,948074.2706168368,0.048504000695712916,0.10110784775769507,5919.105084948532,2037.0255471397666,7956.130632088299
